Altium Designer Pick and Place Locations
Z:\GitHub\NISTCare\2017-09-20\Pick Place for NISTCare.txt

========================================================================================================================
File Design Information:

Date:       20/09/17
Time:       13:24
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                 Layer       Footprint               Center-X(mil) Center-Y(mil) Rotation Description                                                                                     
R11        R_DNP                   TopLayer    RESC1005X04N            100.000       -242.283      90       R_DNP                                                                                           
R9         R_DNP                   TopLayer    RESC1005X04N            675.000       -25.000       360      R_DNP                                                                                           
R8         R_DNP                   TopLayer    RESC1005X04N            675.000       -105.000      360      R_DNP                                                                                           
R7         R_DNP                   TopLayer    RESC1005X04N            675.000       -65.000       360      R_DNP                                                                                           
X3         ASTX-H12-B-40.000Z-T    TopLayer    2.5x2.0x0.9mmXTAL       1527.677      -126.728      0        "TCXO Oscillators 40MHz 2.5PPM 2.5Volt -30C +75C"                                               
C59        GRM155R71E103KA01D      TopLayer    CAPC1005X04L            1545.000      -50.000       180      "CAP CER 10000PF 25V X7R 0402"                                                                  
P4         "Raspbery Pi Zero Mate" TopLayer    RASPBERRY_PI_ZERO       1301.732      12.244        270      "The header and mechanical drawings for connnecting a Raspbery Pi Zero"                         
A1         U.FL-R-SMT(01)          TopLayer    U.FL-R-SMT-1            1900.000      -1005.472     180      "CONN UMC JACK STR 50 OHM SMD"                                                                  
A2         U.FL-R-SMT(01)          TopLayer    U.FL-R-SMT-1            825.000       -1005.472     180      "CONN UMC JACK STR 50 OHM SMD"                                                                  
B1         HHM1595A1               TopLayer    BALUN                   1865.000      -855.000      90       "XFMR BALUN RF 3.0-8.0GHZ UWB SMD"                                                              
C1         GRM155R71C104KA88D      TopLayer    CAPC1005X04L            1930.000      -110.000      270      "CAP CER 0.1UF 16V X7R 0402"                                                                    
C2         GRM155R71C104KA88D      TopLayer    CAPC1005X04L            1970.000      -110.000      270      "CAP CER 0.1UF 16V X7R 0402"                                                                    
C3         GRM155R71C104KA88D      TopLayer    CAPC1005X04L            2495.000      -695.000      360      "CAP CER 0.1UF 16V X7R 0402"                                                                    
C4         GRM155R71C104KA88D      TopLayer    CAPC1005X04L            2495.000      -905.000      360      "CAP CER 0.1UF 16V X7R 0402"                                                                    
C5         GRM155R71C104KA88D      TopLayer    CAPC1005X04L            1650.000      -110.000      270      "CAP CER 0.1UF 16V X7R 0402"                                                                    
C6         GRM155R60J105KE19D      TopLayer    CAPC1005X04L            1690.000      -110.000      270      "CAP CER 1UF 6.3V X5R 0402"                                                                     
C7         GRM155R60J106ME15D      TopLayer    INDC1005X04L            1730.000      -110.000      270      "CAP CER 10UF 6.3V X5R 0402"                                                                    
C8         GRM155R71C104KA88D      TopLayer    CAPC1005X04L            1770.000      -110.000      270      "CAP CER 0.1UF 16V X7R 0402"                                                                    
C9         GRM155R60J105KE19D      TopLayer    CAPC1005X04L            1810.000      -110.000      270      "CAP CER 1UF 6.3V X5R 0402"                                                                     
C10        GRM155R60J106ME15D      TopLayer    INDC1005X04L            1850.000      -110.000      270      "CAP CER 10UF 6.3V X5R 0402"                                                                    
C11        GRM155R71C104KA88D      TopLayer    CAPC1005X04L            1630.000      -270.000      360      "CAP CER 0.1UF 16V X7R 0402"                                                                    
